Subject;Cluster;TSNE1;TSNE2
10;1;75.6629633245373;-10.1010388780774
11;2;-34.4933394339347;3.7415937817245
12;2;-60.7206568624178;-9.68848242760726
13;3;-12.3843480296591;13.1814863121827
14;1;72.8590238114457;-18.9230533755052
16;1;69.4296930814965;-8.2494758373572
17;3;3.32320430579859;2.86141836071238
18;2;-61.4256142410144;24.6148074702464
19;1;40.3945983050701;4.24877140315605
20;1;50.6049598485258;1.32455306383912
21;3;-14.7962185484062;-17.4264403697294
24;2;-54.7844016035339;-8.23960494170969
25;2;-41.0494227447146;3.94291287339253
26;3;-8.492482858921;-9.7613282425994
27;1;84.4933605700955;-12.5946419291377
29;1;77.3032315057358;-27.6675255284477
30;3;-17.5468121341302;5.08726458397761
31;2;-54.2214035565467;17.2635789626182
32;3;-12.4240482084225;-4.25030879027869
33;3;-21.7942901907155;-16.3886456344099
35;2;-60.1916048960275;3.12320291469649
36;2;-59.5199206763195;9.04413668980286
37;1;41.9319843321163;-2.01396569556694
38;3;6.77397111643211;8.38269955569192
39;2;-50.218335963825;13.1078173621818
40;2;-61.6019076454142;33.1901211491751
41;1;66.5481525488834;-19.533054947183
42;3;-10.243808243094;7.07320079938106
43;2;-55.1667888562824;25.495444060511
44;1;55.0149092457099;-2.19122463957567
45;3;-25.8292371716906;2.79766018868031
46;3;2.14239691372483;14.8520137996168
50;1;70.4221929554979;-26.3038920944017
